iter	Logloss
0	0.6892559194
1	0.6856369982
2	0.6824485306
3	0.6782847403
4	0.6743167378
5	0.6703219081
6	0.6661944163
7	0.6628035558
8	0.6593437171
9	0.6563868042
10	0.6533242571
11	0.6496452865
12	0.6464521925
13	0.6431614887
14	0.6403263507
15	0.6372620039
16	0.6343103514
17	0.6316487537
18	0.6293429916
19	0.6261000278
20	0.6236633261
21	0.6208469969
22	0.6181730298
23	0.6154749658
24	0.6130140158
25	0.6105447859
26	0.6076746533
27	0.604799396
28	0.6028444468
29	0.6007875291
30	0.5985588144
31	0.5962726412
32	0.5943181304
33	0.5924334586
34	0.5899473712
35	0.5879577198
36	0.5859614265
37	0.5843407929
38	0.5819282969
39	0.580198719
40	0.5784890874
41	0.5767488714
42	0.5748474158
43	0.5730356622
44	0.5711443705
45	0.5691177843
46	0.567506354
47	0.5658252433
48	0.5641476635
49	0.5623609276
50	0.5606986235
51	0.5592375135
52	0.5576766389
53	0.5560319977
54	0.5540573808
55	0.5525905622
56	0.5514591637
57	0.5499601911
58	0.5483896337
59	0.5471483745
60	0.5456302752
61	0.5440404234
62	0.5425443261
63	0.5410698501
64	0.5395179992
65	0.5382565322
66	0.5370519683
67	0.5356846356
68	0.5347091483
69	0.5332719274
70	0.5320088085
71	0.5308366798
72	0.5297480192
73	0.5284963593
74	0.5273801768
75	0.5262447915
76	0.5252634242
77	0.5243187057
78	0.5232831002
79	0.5222405305
80	0.5213719802
81	0.5201306101
82	0.5189927992
83	0.5176984195
84	0.5165091304
85	0.5154960276
86	0.5143462564
87	0.5134311281
88	0.5124091851
89	0.5114345361
90	0.5104471622
91	0.5094585841
92	0.5082042058
93	0.5073183527
94	0.5065378099
95	0.505817686
96	0.5046315738
97	0.5036465809
98	0.5027261813
99	0.5017648732
100	0.5011874127
101	0.5004010232
102	0.4995075534
103	0.4984118402
104	0.4978354912
105	0.4971374026
106	0.4960748636
107	0.4950764119
108	0.4943939596
109	0.4938464128
110	0.4931089235
111	0.4923289145
112	0.4913396418
113	0.4904528891
114	0.4896744425
115	0.4888669922
116	0.4882496919
117	0.4871449799
118	0.4863299771
119	0.4855369709
120	0.4849413732
121	0.484215123
122	0.4833935587
123	0.4826150427
124	0.4820288103
125	0.4812262182
126	0.4806390584
127	0.4798130551
128	0.4789286674
129	0.4782905472
130	0.4775536451
131	0.476810711
132	0.47618441
133	0.4756283958
134	0.4750380044
135	0.4743620203
136	0.4735589681
137	0.4727947674
138	0.4721569139
139	0.4717137681
140	0.4708925299
141	0.4702916719
142	0.4696469582
143	0.4691873464
144	0.4686085333
145	0.4679953394
146	0.4672194413
147	0.4666426846
148	0.4662731774
149	0.4656783699
150	0.4650371042
151	0.4643472769
152	0.4639150831
153	0.4632326681
154	0.4627004067
155	0.4620538624
156	0.4613593567
157	0.4609567988
158	0.4604241264
159	0.4599090469
160	0.459213798
161	0.4587373472
162	0.4581206323
163	0.4577258689
164	0.4572758899
165	0.4568289394
166	0.4559593431
167	0.4554495282
168	0.4549019286
169	0.4540510783
170	0.4533736378
171	0.4527654068
172	0.4522763105
173	0.4516934519
174	0.4516480128
175	0.4510892625
176	0.4505126512
177	0.4499230904
178	0.4495609597
179	0.4490273805
180	0.4483610763
181	0.4479274829
182	0.4474646537
183	0.4470606868
184	0.446521377
185	0.4460546008
186	0.4454121057
187	0.4449818901
188	0.4443753862
189	0.4437096058
190	0.4432307031
191	0.4428251417
192	0.4424014165
193	0.4419111289
194	0.4413790744
195	0.4410312966
196	0.4406212519
197	0.4400509238
198	0.4395848562
199	0.4390949092
200	0.4386606075
201	0.4380057695
202	0.4375473906
203	0.4372104236
204	0.4364345877
205	0.4359586588
206	0.4355660872
207	0.4351000589
208	0.4345223394
209	0.4342336974
210	0.4337164977
211	0.4330583239
212	0.4326409955
213	0.4320164339
214	0.4313699684
215	0.4308223383
216	0.4304291058
217	0.4299194837
218	0.4295135781
219	0.4289014116
220	0.4284760789
221	0.4281128201
222	0.4276411062
223	0.4271192673
224	0.4267466614
225	0.4263481305
226	0.4257349127
227	0.4251894406
228	0.4248893625
229	0.4243794881
230	0.4239026837
231	0.4232775454
232	0.4227465618
233	0.4221257566
234	0.4216784964
235	0.421238434
236	0.4210029418
237	0.4204209271
238	0.4198940383
239	0.4195769621
240	0.4191451239
241	0.418737599
242	0.4183053788
243	0.4178578549
244	0.4174484902
245	0.4169388606
246	0.416522014
247	0.4160177408
248	0.4155458171
249	0.4151777977
250	0.4146667835
251	0.4142780015
252	0.4138670521
253	0.4134733041
254	0.4131820107
255	0.4125827727
256	0.4121495498
257	0.4116203137
258	0.4112812648
259	0.4107455627
260	0.4103522783
261	0.410037022
262	0.4095609243
263	0.4090806041
264	0.4087151423
265	0.4083889727
266	0.4078725982
267	0.407495323
268	0.4072306247
269	0.4068725376
270	0.4063584126
271	0.4060649608
272	0.4055475549
273	0.4048272852
274	0.4044947066
275	0.4040141678
276	0.4036260496
277	0.4031767664
278	0.402815295
279	0.4023350908
280	0.4021200099
281	0.4016902232
282	0.401333728
283	0.4009973355
284	0.4006443705
285	0.4001874318
286	0.399822472
287	0.3992725067
288	0.3988648603
289	0.3983651275
290	0.3978950876
291	0.3974668094
292	0.3969059423
293	0.3965017653
294	0.3961205788
295	0.395587602
296	0.3952933079
297	0.3949567942
298	0.3946275736
299	0.3943463775
300	0.3938477116
301	0.3935540647
302	0.3932028259
303	0.3927333675
304	0.3924520995
305	0.3921030902
306	0.3918757898
307	0.3914559628
308	0.3911748095
309	0.3908229652
310	0.3906208847
311	0.3904411952
312	0.390085784
313	0.3897380625
314	0.3893655339
315	0.3891124412
316	0.3887813376
317	0.3883731834
318	0.3880665382
319	0.387894112
320	0.3874644715
321	0.3870800124
322	0.3869532306
323	0.3866632707
324	0.3862282099
325	0.385884914
326	0.3854492624
327	0.3850175933
328	0.3845043969
329	0.3839992016
330	0.383754931
331	0.3834891058
332	0.3830826495
333	0.3827737772
334	0.3824980844
335	0.3822372353
336	0.381920054
337	0.3815797562
