iter	Passed	Remaining
0	4	4837
1	8	4294
2	12	4251
3	16	4065
4	20	4059
5	24	4053
6	28	3998
7	31	3937
8	34	3808
9	37	3733
10	40	3632
11	43	3548
12	45	3458
13	47	3369
14	50	3289
15	52	3224
16	55	3212
17	58	3213
18	61	3185
19	64	3139
20	66	3120
21	70	3113
22	73	3110
23	75	3074
24	77	3013
25	79	2960
26	81	2931
27	83	2893
28	85	2850
29	86	2811
30	88	2770
31	90	2745
32	92	2715
33	94	2679
34	95	2645
35	97	2614
36	99	2582
37	100	2556
38	102	2529
39	104	2505
40	106	2480
41	107	2458
42	109	2436
43	111	2415
44	112	2395
45	114	2374
46	116	2356
47	117	2338
48	119	2320
49	121	2303
50	123	2290
51	124	2274
52	126	2258
53	127	2241
54	129	2231
55	131	2216
56	133	2202
57	134	2189
58	136	2176
59	138	2163
60	139	2151
61	141	2138
62	143	2129
63	144	2120
64	146	2109
65	148	2098
66	149	2088
67	151	2078
68	153	2068
69	155	2061
70	156	2052
71	158	2042
72	160	2032
73	161	2022
74	163	2012
75	164	2004
76	166	1996
77	168	1988
78	169	1979
79	171	1972
80	173	1965
81	174	1957
82	176	1950
83	178	1944
84	180	1937
85	182	1941
86	184	1939
87	187	1938
88	189	1939
89	191	1938
90	193	1936
91	196	1935
92	198	1933
93	200	1931
94	202	1930
95	204	1928
96	206	1926
97	209	1924
98	211	1925
99	214	1929
100	216	1929
101	219	1929
102	221	1929
103	224	1933
104	226	1932
105	228	1928
106	230	1923
107	232	1923
108	235	1924
109	237	1919
110	238	1914
111	240	1908
112	242	1903
113	244	1898
114	245	1892
115	247	1886
116	249	1881
117	251	1876
118	252	1871
119	254	1865
120	256	1859
121	257	1854
122	259	1849
123	260	1843
124	262	1838
125	264	1833
126	265	1828
127	267	1823
128	269	1818
129	271	1813
130	272	1808
131	274	1803
132	276	1799
133	277	1794
134	279	1790
135	281	1785
136	282	1781
137	284	1777
138	286	1773
139	287	1768
140	289	1764
141	291	1760
142	292	1755
143	294	1751
144	296	1747
145	297	1742
146	299	1738
147	301	1734
148	302	1729
149	304	1725
150	306	1723
151	308	1719
152	309	1715
153	311	1710
154	313	1707
155	314	1703
156	316	1700
157	318	1697
158	320	1694
159	322	1691
160	323	1687
161	325	1684
162	327	1681
163	329	1678
164	331	1675
165	332	1672
166	334	1669
167	336	1665
168	338	1662
169	339	1659
170	341	1655
171	343	1652
172	345	1649
173	346	1646
174	347	1639
175	349	1636
176	351	1632
177	352	1629
178	354	1626
179	356	1624
180	358	1620
181	359	1617
182	361	1614
183	363	1611
184	365	1608
185	367	1607
186	369	1608
187	371	1606
188	374	1605
189	376	1604
190	378	1604
191	381	1604
192	383	1603
193	388	1614
194	391	1616
195	393	1616
196	396	1614
197	398	1613
198	401	1614
199	403	1615
200	406	1617
201	410	1619
202	413	1623
203	416	1626
204	419	1627
205	422	1626
206	424	1625
207	426	1625
208	429	1625
209	432	1625
210	434	1624
211	437	1624
212	439	1624
213	441	1623
214	444	1622
215	447	1623
216	449	1622
217	451	1620
218	454	1620
219	457	1620
220	459	1619
221	462	1619
222	465	1621
223	467	1618
224	468	1615
225	470	1612
226	472	1609
227	474	1607
228	476	1604
229	478	1601
230	480	1598
231	482	1596
232	484	1593
233	485	1590
234	487	1587
235	489	1584
236	491	1581
237	493	1579
238	495	1576
239	497	1574
240	498	1571
241	500	1568
242	502	1565
243	504	1562
244	506	1559
245	507	1556
246	509	1553
247	511	1550
248	513	1547
249	514	1544
250	516	1542
251	518	1539
252	520	1536
253	522	1534
254	524	1531
255	525	1528
256	527	1525
257	529	1523
258	531	1520
259	533	1517
260	535	1515
261	536	1512
262	538	1509
263	540	1506
264	542	1504
265	544	1501
266	545	1498
267	547	1495
268	549	1492
269	551	1491
270	553	1490
271	556	1489
272	558	1487
273	561	1486
274	563	1484
275	565	1483
276	568	1483
277	571	1484
278	573	1481
279	575	1479
280	577	1476
281	578	1473
282	580	1471
283	582	1468
284	584	1467
285	587	1465
286	589	1463
287	590	1460
288	592	1458
289	594	1455
290	596	1453
291	598	1450
292	600	1448
293	602	1445
294	603	1443
295	605	1440
296	607	1438
297	609	1435
298	611	1433
299	613	1431
300	615	1428
301	616	1425
302	618	1423
303	620	1420
304	622	1418
305	624	1415
306	625	1412
307	627	1410
308	629	1408
309	631	1405
310	633	1403
311	635	1400
312	637	1398
313	638	1395
314	641	1394
315	643	1391
316	644	1389
317	646	1386
318	648	1384
319	650	1382
320	652	1380
321	654	1377
322	656	1375
323	658	1373
324	659	1370
325	661	1368
326	663	1366
327	665	1363
328	667	1361
329	669	1358
330	671	1357
331	673	1355
332	675	1352
333	677	1350
334	679	1348
335	680	1345
336	682	1343
337	684	1340
338	686	1338
339	688	1336
340	690	1333
341	692	1331
342	694	1329
343	696	1327
344	697	1324
345	700	1323
346	703	1323
347	704	1320
348	707	1319
349	709	1318
350	711	1315
351	713	1313
352	715	1312
353	717	1309
354	719	1307
355	721	1305
356	724	1304
357	725	1301
358	727	1299
359	730	1298
360	732	1296
361	734	1294
362	737	1294
363	740	1293
364	742	1292
365	745	1291
366	747	1289
367	750	1288
368	753	1287
369	755	1286
370	759	1287
371	763	1288
372	766	1288
373	770	1289
374	772	1287
375	774	1285
376	776	1283
377	778	1281
378	781	1280
379	784	1279
380	786	1277
381	788	1275
382	790	1273
383	792	1271
384	794	1269
385	797	1267
386	799	1266
387	801	1264
388	803	1262
389	805	1259
390	807	1257
391	809	1255
392	811	1253
393	813	1251
394	815	1249
395	817	1247
396	819	1245
397	821	1243
398	824	1241
399	826	1239
400	828	1237
401	831	1236
402	833	1234
403	834	1231
404	836	1229
405	838	1227
406	840	1225
407	842	1222
408	845	1221
409	847	1219
410	849	1217
411	851	1214
412	853	1213
413	855	1211
414	857	1208
415	859	1207
416	861	1204
417	863	1202
418	865	1200
419	868	1199
420	870	1196
421	872	1194
422	874	1193
423	876	1190
424	878	1188
425	880	1186
426	883	1185
427	885	1183
428	887	1181
429	890	1179
430	891	1177
431	893	1175
432	895	1173
433	898	1171
434	899	1168
435	901	1166
436	904	1164
437	906	1163
438	908	1161
439	910	1159
440	913	1157
441	915	1155
442	917	1153
443	922	1155
444	926	1155
445	929	1155
446	933	1155
447	937	1155
448	943	1157
449	946	1156
450	951	1158
451	958	1162
452	963	1163
453	968	1165
454	974	1167
455	979	1168
456	984	1170
457	988	1170
458	992	1169
459	997	1170
460	1002	1171
461	1005	1170
462	1009	1170
463	1012	1169
464	1016	1169
465	1018	1167
466	1020	1164
467	1023	1163
468	1025	1160
469	1027	1158
470	1029	1156
471	1031	1154
472	1033	1151
473	1035	1149
474	1037	1146
475	1040	1145
476	1043	1143
477	1045	1141
478	1047	1139
479	1049	1137
480	1051	1135
481	1053	1132
482	1055	1129
483	1057	1127
484	1059	1125
485	1061	1122
486	1063	1120
487	1065	1117
488	1067	1115
489	1068	1112
490	1070	1109
491	1072	1107
492	1074	1105
493	1076	1102
494	1078	1099
495	1080	1097
496	1081	1095
497	1083	1092
498	1085	1089
499	1087	1087
500	1089	1085
501	1091	1082
502	1093	1080
503	1095	1077
504	1097	1075
505	1098	1072
506	1100	1070
507	1102	1068
508	1104	1065
509	1106	1063
510	1109	1061
511	1111	1059
512	1114	1057
513	1116	1055
514	1119	1054
515	1121	1052
516	1124	1050
517	1127	1048
518	1129	1046
519	1131	1044
520	1133	1042
521	1136	1040
522	1137	1037
523	1139	1035
524	1141	1032
525	1143	1030
526	1145	1028
527	1147	1026
528	1149	1023
529	1152	1021
530	1153	1019
531	1155	1016
532	1157	1014
533	1159	1012
534	1161	1009
535	1163	1007
536	1165	1005
537	1168	1003
538	1170	1001
539	1173	999
540	1175	997
541	1178	995
542	1180	993
543	1182	991
544	1184	988
545	1186	986
546	1187	983
547	1189	981
548	1191	979
549	1194	977
550	1196	974
551	1198	972
552	1200	970
553	1202	968
554	1204	965
555	1206	963
556	1208	960
557	1210	958
558	1212	956
559	1214	954
560	1216	951
561	1218	949
562	1219	946
563	1221	944
564	1223	942
565	1225	939
566	1227	937
567	1229	935
568	1231	932
569	1233	930
570	1235	928
571	1237	925
572	1239	923
573	1241	921
574	1243	918
575	1245	916
576	1247	914
577	1249	912
578	1251	909
579	1253	907
580	1255	905
581	1257	902
582	1259	900
583	1260	898
584	1263	896
585	1265	893
586	1266	891
587	1269	889
588	1271	886
589	1272	884
590	1274	882
591	1276	879
592	1278	877
593	1280	875
594	1282	872
595	1284	870
596	1286	868
597	1288	865
598	1290	863
599	1292	861
600	1295	859
601	1297	857
602	1300	856
603	1302	854
604	1305	852
605	1308	850
606	1311	848
607	1313	847
608	1316	845
609	1318	843
610	1321	841
611	1323	838
612	1325	836
613	1327	834
614	1329	832
615	1331	830
616	1334	828
617	1336	825
618	1338	823
619	1340	821
620	1342	819
621	1344	817
622	1346	814
623	1348	812
624	1350	810
625	1352	807
626	1354	805
627	1356	803
628	1358	801
629	1360	798
630	1361	796
631	1363	794
632	1365	791
633	1367	789
634	1369	787
635	1371	784
636	1374	783
637	1376	781
638	1378	779
639	1381	777
640	1383	774
641	1385	772
642	1387	770
643	1389	768
644	1391	765
645	1393	763
646	1395	761
647	1397	759
648	1399	757
649	1401	754
650	1404	752
651	1405	750
652	1408	748
653	1410	746
654	1412	743
655	1414	741
656	1416	739
657	1418	737
658	1420	735
659	1422	732
660	1424	730
661	1426	728
662	1428	725
663	1430	723
664	1431	721
665	1433	719
666	1435	716
667	1437	714
668	1439	712
669	1441	710
670	1443	707
671	1446	705
672	1448	703
673	1450	701
674	1452	699
675	1455	697
676	1457	695
677	1459	693
678	1461	690
679	1463	688
680	1465	686
681	1467	684
682	1469	682
683	1471	679
684	1473	677
685	1475	675
686	1477	673
687	1480	671
688	1483	669
689	1485	667
690	1488	665
691	1491	663
692	1493	661
693	1496	660
694	1499	658
695	1502	656
696	1504	654
697	1506	651
698	1508	649
699	1511	647
700	1514	645
701	1516	643
702	1519	641
703	1521	639
704	1523	637
705	1525	635
706	1527	633
707	1529	630
708	1532	628
709	1534	626
710	1536	624
711	1538	622
712	1540	620
713	1542	617
714	1544	615
715	1546	613
716	1548	611
717	1550	608
718	1552	606
719	1554	604
720	1556	602
721	1558	600
722	1560	597
723	1562	595
724	1564	593
725	1566	591
726	1568	589
727	1570	586
728	1572	584
729	1574	582
730	1576	580
731	1578	577
732	1580	575
733	1582	573
734	1584	571
735	1586	568
736	1588	566
737	1590	564
738	1592	562
739	1594	560
740	1596	557
741	1598	555
742	1600	553
743	1603	551
744	1606	549
745	1608	547
746	1611	545
747	1614	543
748	1616	541
749	1618	539
750	1620	537
751	1624	535
752	1626	533
753	1628	531
754	1630	529
755	1632	526
756	1634	524
757	1637	522
758	1639	520
759	1642	518
760	1644	516
761	1646	514
762	1648	512
763	1651	510
764	1653	508
765	1656	506
766	1659	504
767	1661	501
768	1663	499
769	1666	497
770	1669	495
771	1672	494
772	1675	491
773	1677	489
774	1680	487
775	1683	485
776	1686	484
777	1689	482
778	1691	479
779	1694	477
780	1696	475
781	1699	473
782	1703	472
783	1705	469
784	1707	467
785	1709	465
786	1712	463
787	1715	461
788	1718	459
789	1721	457
790	1723	455
791	1725	453
792	1727	450
793	1730	448
794	1733	446
795	1735	444
796	1737	442
797	1739	440
798	1741	438
799	1743	435
800	1745	433
801	1751	432
802	1754	430
803	1758	428
804	1761	426
805	1764	424
806	1766	422
807	1768	420
808	1770	418
809	1773	416
810	1776	414
811	1779	411
812	1782	409
813	1784	407
814	1786	405
815	1788	403
816	1791	401
817	1794	399
818	1796	396
819	1798	394
820	1800	392
821	1802	390
822	1805	388
823	1808	386
824	1810	384
825	1812	381
826	1814	379
827	1817	377
828	1818	375
829	1822	373
830	1824	371
831	1827	368
832	1829	366
833	1831	364
834	1833	362
835	1836	360
836	1839	358
837	1842	356
838	1844	353
839	1846	351
840	1848	349
841	1852	347
842	1855	345
843	1857	343
844	1859	341
845	1861	338
846	1863	336
847	1866	334
848	1869	332
849	1872	330
850	1874	328
851	1877	326
852	1880	323
853	1882	321
854	1885	319
855	1888	317
856	1890	315
857	1892	313
858	1895	311
859	1899	309
860	1902	307
861	1904	304
862	1906	302
863	1909	300
864	1912	298
865	1915	296
866	1918	294
867	1920	292
868	1922	289
869	1924	287
870	1926	285
871	1929	283
872	1932	281
873	1934	278
874	1936	276
875	1939	274
876	1941	272
877	1944	270
878	1946	267
879	1948	265
880	1950	263
881	1953	261
882	1955	259
883	1957	256
884	1960	254
885	1963	252
886	1965	250
887	1967	248
888	1969	245
889	1972	243
890	1975	241
891	1978	239
892	1980	237
893	1982	235
894	1984	232
895	1986	230
896	1989	228
897	1992	226
898	1994	224
899	1996	221
900	1998	219
901	2001	217
902	2003	215
903	2006	213
904	2008	210
905	2010	208
906	2012	206
907	2015	204
908	2017	201
909	2020	199
910	2023	197
911	2025	195
912	2027	193
913	2030	191
914	2032	188
915	2036	186
916	2039	184
917	2041	182
918	2043	180
919	2046	177
920	2049	175
921	2052	173
922	2054	171
923	2057	169
924	2060	167
925	2063	164
926	2067	162
927	2070	160
928	2072	158
929	2075	156
930	2078	154
931	2081	151
932	2083	149
933	2086	147
934	2088	145
935	2090	142
936	2092	140
937	2096	138
938	2098	136
939	2101	134
940	2103	131
941	2105	129
942	2107	127
943	2110	125
944	2113	123
945	2116	120
946	2118	118
947	2120	116
948	2122	114
949	2125	111
950	2128	109
951	2131	107
952	2133	105
953	2135	102
954	2138	100
955	2141	98
956	2143	96
957	2146	94
958	2149	91
959	2151	89
960	2154	87
961	2157	85
962	2160	83
963	2162	80
964	2165	78
965	2167	76
966	2170	74
967	2172	71
968	2175	69
969	2177	67
970	2179	65
971	2181	62
972	2184	60
973	2187	58
974	2190	56
975	2192	53
976	2194	51
977	2196	49
978	2199	47
979	2201	44
980	2204	42
981	2206	40
982	2208	38
983	2210	35
984	2212	33
985	2214	31
986	2218	29
987	2220	26
988	2223	24
989	2225	22
990	2227	20
991	2230	17
992	2233	15
993	2235	13
994	2238	11
995	2241	9
996	2243	6
997	2246	4
998	2249	2
999	2252	0
